,postcode,year,Accident_risk
5758,BB4 7SF,2012,1.25
5759,BB4 8AB,2012,1.666666667
5760,BB4 8AB,2013,1.25
5761,BB4 8AP,2013,2
5762,BB4 8AS,2012,1
5763,BB4 8EL,2012,1.166666667
5764,BB4 8EL,2013,1.333333333
5765,BB4 8HH,2012,1
5766,BB4 8HH,2013,1
5767,BB4 8HT,2012,2
5768,BB4 8LZ,2012,1.571428571
5769,BB4 8NE,2012,1.555555556
5770,BB4 8QY,2012,1
5771,BB4 8RR,2012,1.333333333
5772,BB4 8TS,2012,1.777777778
5773,BB4 8TZ,2012,1
5774,BB4 9AA,2012,2
5775,BB4 9AZ,2012,1
5776,BB4 9BU,2012,1.4
5777,BB4 9BU,2013,1
5778,BB4 9DF,2012,1
5779,BB4 9DR,2012,1
5780,BB4 9JR,2012,1.578947368
5781,BB4 9JR,2013,1.5
5782,BB4 9NJ,2012,1.5
5783,BB4 9NJ,2013,1.6
5784,BB4 9PN,2012,1
5785,BB4 9PN,2013,1.428571429
5786,BB4 9QS,2012,1.6
5787,BB4 9TJ,2012,3
5788,BB4 9TJ,2013,1.8
5789,BB4 9UA,2012,1.2
5790,BB4 9UA,2013,1
5791,BB5 0AD,2012,1
5792,BB5 0AS,2012,1.375
5793,BB5 0AS,2013,1
5794,BB5 0AX,2012,1.333333333
5795,BB5 0AX,2013,1
5796,BB5 0EP,2012,1
5797,BB5 0EP,2013,1
5798,BB5 0EX,2012,1.25
5799,BB5 0EX,2013,1.2
5800,BB5 0FB,2013,1.5
5801,BB5 0FR,2012,1.666666667
5802,BB5 0FR,2013,1
5803,BB5 0HE,2012,2
5804,BB5 0HE,2013,1
5805,BB5 0HG,2012,1.5
5806,BB5 0HG,2013,1.142857143
5807,BB5 0HP,2012,1.5
5808,BB5 0JB,2012,1.714285714
5809,BB5 0JY,2012,2
5810,BB5 0JY,2013,1
5811,BB5 0LD,2012,1
5812,BB5 0LD,2013,1
5813,BB5 0LF,2012,1.333333333
5814,BB5 0LU,2012,1.222222222
5815,BB5 0NF,2012,3
5816,BB5 0NF,2013,2.333333333
5817,BB5 0NP,2012,1.5
5818,BB5 0NS,2012,2.5
5819,BB5 0NS,2013,1
5820,BB5 0PF,2012,3
5821,BB5 0PF,2013,1.666666667
5822,BB5 0QQ,2012,1.5
5823,BB5 0QQ,2013,1
5824,BB5 0QS,2012,1.666666667
5825,BB5 0QS,2013,1
5826,BB5 0RS,2012,2
5827,BB5 0RS,2013,2
5828,BB5 0SX,2012,1.75
5829,BB5 1AA,2012,1.363636364
5830,BB5 1AL,2012,1
5831,BB5 1AL,2013,1
5832,BB5 1AP,2012,1.166666667
5833,BB5 1AP,2013,1.25
5834,BB5 1AS,2012,1
5835,BB5 1AS,2013,1
5836,BB5 1AY,2012,1
5837,BB5 1BE,2012,1.333333333
5838,BB5 1DA,2012,1
5839,BB5 1DZ,2013,1
5840,BB5 1EB,2012,1
5841,BB5 1EB,2013,1
5842,BB5 1ED,2012,1
5843,BB5 1HD,2012,1.833333333
5844,BB5 1HH,2012,1.333333333
5845,BB5 1JT,2012,1
5846,BB5 1JT,2013,1
5847,BB5 1JZ,2012,1
5848,BB5 1JZ,2013,1
5849,BB5 1LD,2012,1
5850,BB5 1NQ,2012,1.538461538
5851,BB5 1NQ,2013,1
5852,BB5 1NY,2012,1.2
5853,BB5 1QG,2012,1
5854,BB5 1QG,2013,2
5855,BB5 1QJ,2012,1.142857143
5856,BB5 1QJ,2013,1
5857,BB5 1QT,2012,1.333333333
5858,BB5 1RH,2012,1.555555556
5859,BB5 1RH,2013,1
5860,BB5 1SF,2012,1
5861,BB5 1SF,2013,1.25
5862,BB5 1SN,2012,1
5863,BB5 1SR,2012,1
5864,BB5 1SR,2013,1
5865,BB5 1ST,2012,2
5866,BB5 1SU,2012,1.875
5867,BB5 1SU,2013,1
5868,BB5 1SW,2012,1
5869,BB5 1TG,2012,2
5870,BB5 2AQ,2012,1.125
5871,BB5 2AQ,2013,1.4
5872,BB5 2BA,2012,1.8
5873,BB5 2BB,2012,1.571428571
5874,BB5 2BB,2013,1
5875,BB5 2BN,2012,1.444444444
5876,BB5 2BN,2013,1
5877,BB5 2EN,2012,1.5
5878,BB5 2EN,2013,1
5879,BB5 2ER,2012,1.416666667
5880,BB5 2ES,2012,1
5881,BB5 2HL,2012,1
5882,BB5 2HN,2012,2
5883,BB5 2QG,2012,1.666666667
5884,BB5 2QJ,2012,1.25
5885,BB5 2RY,2013,1.5
5886,BB5 2SN,2012,1
5887,BB5 2SN,2013,1
5888,BB5 2SR,2012,1.25
5889,BB5 2SR,2013,1.75
5890,BB5 2SS,2012,1
5891,BB5 3DD,2012,1.166666667
5892,BB5 3EG,2012,3
5893,BB5 3HU,2012,1
5894,BB5 3HX,2012,1.333333333
5895,BB5 3LE,2012,2
5896,BB5 3NH,2012,1
5897,BB5 3NW,2012,1.428571429
5898,BB5 3NW,2013,1.2
5899,BB5 3QF,2012,1.2
5900,BB5 3RL,2012,1.2
5901,BB5 3RY,2012,1.6
5902,BB5 3RY,2013,1.5
5903,BB5 3RZ,2012,1
5904,BB5 3RZ,2013,4
5905,BB5 3SD,2012,1.5
5906,BB5 3SD,2013,1
5907,BB5 3SW,2012,1
5908,BB5 3SW,2013,1.833333333
5909,BB5 4AR,2012,1.3
5910,BB5 4AR,2013,1
5911,BB5 4DU,2012,1.545454545
5912,BB5 4DU,2013,1
5913,BB5 4DX,2012,1.75
5914,BB5 4DX,2013,1.75
5915,BB5 4EG,2012,1.333333333
5916,BB5 4EG,2013,1.142857143
5917,BB5 4EJ,2012,1.333333333
5918,BB5 4EP,2012,1
5919,BB5 4EQ,2012,1.4
5920,BB5 4ES,2012,2.666666667
5921,BB5 4FF,2012,1.571428571
5922,BB5 4FF,2013,2
5923,BB5 4HA,2013,1
5924,BB5 4HH,2012,1
5925,BB5 4HH,2013,1
5926,BB5 4JN,2012,1.25
5927,BB5 4JR,2012,1
5928,BB5 4LW,2012,1.285714286
5929,BB5 4LW,2013,1.2
5930,BB5 4NQ,2012,1
5931,BB5 4PE,2012,1.5
5932,BB5 4PE,2013,5
5933,BB5 4PS,2012,1.75
5934,BB5 5AB,2012,1
5935,BB5 5AD,2012,1.5
5936,BB5 5BW,2012,1.2
5937,BB5 5DD,2012,1
5938,BB5 5DD,2013,1
5939,BB5 5DQ,2012,1.625
5940,BB5 5DQ,2013,1
5941,BB5 5DT,2012,2
5942,BB5 5EF,2012,1.625
5943,BB5 5EQ,2012,1.428571429
5944,BB5 5EQ,2013,2
5945,BB5 5HE,2012,1.5
5946,BB5 5HN,2012,1.666666667
5947,BB5 5HN,2013,1
5948,BB5 5JH,2012,1.333333333
5949,BB5 5JP,2012,1.666666667
5950,BB5 5JP,2013,1
5951,BB5 5JT,2012,1.333333333
5952,BB5 5JW,2012,2
5953,BB5 5JW,2013,1
5954,BB5 5LU,2012,1
5955,BB5 5LU,2013,1
5956,BB5 5NA,2012,2
5957,BB5 5NS,2012,3
5958,BB5 5NS,2013,1.333333333
5959,BB5 5PG,2012,1
5960,BB5 5PG,2013,1
5961,BB5 5QA,2012,1
5962,BB5 5QA,2013,1
5963,BB5 5RR,2013,1
5964,BB5 5SQ,2012,1.076923077
5965,BB5 5SQ,2013,1
5966,BB5 5UB,2012,1.333333333
5967,BB5 5UQ,2012,1.333333333
5968,BB5 5UQ,2013,1
5969,BB5 5UR,2012,1
5970,BB5 6AJ,2012,1
5971,BB5 6AJ,2013,1
5972,BB5 6AL,2012,1
5973,BB5 6AL,2013,1
5974,BB5 6AU,2012,1
5975,BB5 6AU,2013,1
5976,BB5 6ED,2012,1.65
5977,BB5 6HA,2012,1
5978,BB5 6HG,2012,1
5979,BB5 6HN,2012,1.466666667
5980,BB5 6HT,2012,1
5981,BB5 6HT,2013,1.285714286
5982,BB5 6JX,2012,1.375
5983,BB5 6LE,2012,1.2
5984,BB5 6NJ,2012,1.333333333
5985,BB5 6QA,2012,1
5986,BB5 6QA,2013,1
5987,BB5 6QE,2012,1.333333333
5988,BB5 6QE,2013,1.5
5989,BB5 6QR,2012,2
5990,BB5 6QY,2013,1
5991,BB5 6RP,2012,1.5
5992,BB5 6RZ,2012,1
5993,BB5 6SW,2012,1.8
5994,BB5 6SW,2013,3
5995,BB6 7AF,2012,1.428571429
5996,BB6 7AF,2013,1
5997,BB6 7AL,2012,1
5998,BB6 7AL,2013,2.666666667
5999,BB6 7AT,2012,3
6000,BB6 7BA,2013,3
6001,BB6 7BS,2012,1.25
6002,BB6 7BS,2013,1
6003,BB6 7DE,2012,1.4
6004,BB6 7DE,2013,1
6005,BB6 7DF,2012,1.666666667
6006,BB6 7DG,2012,1
6007,BB6 7DG,2013,1.375
6008,BB6 7DT,2012,1
6009,BB6 7DT,2013,1
6010,BB6 7DX,2012,1
6011,BB6 7DZ,2012,1.285714286
6012,BB6 7EB,2012,1
6013,BB6 7EB,2013,1
6014,BB6 7EE,2012,1
6015,BB6 7EE,2013,1.5
6016,BB6 7HG,2012,1.8
6017,BB6 7HG,2013,1
6018,BB6 7JW,2012,1.285714286
6019,BB6 7LE,2012,1.2
6020,BB6 7LW,2012,1.25
6021,BB6 7LW,2013,1
6022,BB6 7NF,2012,1.5
6023,BB6 7PG,2013,1
6024,BB6 7PT,2012,1.666666667
6025,BB6 7QQ,2012,1.7
6026,BB6 7QQ,2013,1
6027,BB6 7QR,2012,2
6028,BB6 7RE,2012,1.75
6029,BB6 7TD,2012,1.666666667
6030,BB6 7TD,2013,1
6031,BB6 7UG,2012,1.5
6032,BB6 7UG,2013,1
6033,BB6 7UP,2012,1.444444444
6034,BB6 7UR,2012,1
6035,BB6 8AB,2012,1
6036,BB6 8AQ,2012,1.125
6037,BB6 8AQ,2013,1
6038,BB6 8BE,2012,1.333333333
6039,BB6 8DB,2012,1.916666667
6040,BB6 8EP,2012,1.5
6041,BB6 8EP,2013,1
6042,BB6 8ET,2012,2.5
6043,BB6 8ET,2013,3
6044,BB6 8FB,2012,1
6045,BB6 8FE,2012,2
6046,BB7,2012,1
6047,BB7 1AD,2012,1.2
6048,BB7 1AD,2013,1.428571429
6049,BB7 1AF,2012,1
6050,BB7 1AJ,2012,2
6051,BB7 1AR,2012,1
6052,BB7 1AX,2012,1
6053,BB7 1AX,2013,1.333333333
6054,BB7 1AZ,2012,1.333333333
6055,BB7 1AZ,2013,2
6056,BB7 1BN,2012,1
6057,BB7 1BQ,2013,1
6058,BB7 1ED,2012,2
6059,BB7 1FS,2012,1.25
6060,BB7 1GX,2012,1
6061,BB7 1HQ,2012,1.363636364
6062,BB7 1HT,2012,2
6063,BB7 1JQ,2012,1
6064,BB7 1JQ,2013,1
6065,BB7 1LZ,2012,1.5
6066,BB7 1NB,2012,1.666666667
6067,BB7 1NB,2013,1.2
6068,BB7 1NE,2012,2
6069,BB7 1NN,2012,1
6070,BB7 1NN,2013,2
6071,BB7 1NS,2012,1.625
6072,BB7 1PP,2012,1
6073,BB7 1PP,2013,1
6074,BB7 1QA,2012,1.428571429
6075,BB7 1QB,2012,1
6076,BB7 1QB,2013,1
6077,BB7 1QW,2013,1
6078,BB7 2AA,2013,1
6079,BB7 2AD,2012,1.333333333
6080,BB7 2AD,2013,1
6081,BB7 2AT,2012,1
6082,BB7 2BT,2012,1.333333333
6083,BB7 2BT,2013,1.166666667
6084,BB7 2DP,2013,1.166666667
6085,BB7 2DT,2012,1
6086,BB7 2EN,2013,1.666666667
6087,BB7 2EU,2012,1
6088,BB7 2JP,2012,2
6089,BB7 2JW,2012,2
6090,BB7 2JW,2013,1
6091,BB7 2LA,2012,1.5
6092,BB7 2LA,2013,1.166666667
6093,BB7 2NT,2012,1.4
6094,BB7 2NT,2013,1.454545455
6095,BB7 2NU,2012,1.25
6096,BB7 2NU,2013,1
6097,BB7 2PN,2012,1.6
6098,BB7 2QA,2012,1
6099,BB7 2QA,2013,1.166666667
6100,BB7 2RN,2012,1.333333333
6101,BB7 2RN,2013,1.142857143
6102,BB7 3AA,2012,2
6103,BB7 3AA,2013,1.666666667
6104,BB7 3AB,2013,1.5
6105,BB7 3AT,2012,1.666666667
6106,BB7 3AT,2013,1
6107,BB7 3BJ,2012,1.4
6108,BB7 3BJ,2013,1
6109,BB7 3DA,2012,2.333333333
6110,BB7 3DA,2013,1
6111,BB7 3DE,2012,1
6112,BB7 3DE,2013,1
6113,BB7 3DY,2012,1
6114,BB7 3DY,2013,1
6115,BB7 3EB,2012,1.166666667
6116,BB7 3EB,2013,2
6117,BB7 3HG,2012,1.25
6118,BB7 3HG,2013,1
6119,BB7 3JQ,2012,1.285714286
6120,BB7 3LJ,2012,1.5
6121,BB7 3LJ,2013,1.5
6122,BB7 3LN,2012,1
6123,BB7 3LN,2013,1.2
6124,BB7 3LU,2012,1.25
6125,BB7 3LU,2013,1.4
6126,BB7 3LW,2012,2.4
6127,BB7 3ND,2012,1
6128,BB7 3ND,2013,1
6129,BB7 4AP,2012,1.5
6130,BB7 4AP,2013,1.5
6131,BB7 4AX,2012,1.2
6132,BB7 4BB,2012,1
6133,BB7 4BG,2012,2
6134,BB7 4BG,2013,1.375
6135,BB7 4BL,2012,1
6136,BB7 4BL,2013,1.285714286
6137,BB7 4BN,2012,1.75
6138,BB7 4BN,2013,1.857142857
6139,BB7 4BR,2012,2
6140,BB7 4BY,2012,1.2
6141,BB7 4DS,2012,1
6142,BB7 4DS,2013,1.6
6143,BB7 4EG,2012,1.833333333
6144,BB7 4EG,2013,1.4
6145,BB7 4HH,2012,2
6146,BB7 4HH,2013,1
6147,BB7 4HP,2013,3
6148,BB7 4JD,2012,1.833333333
6149,BB7 4JD,2013,1
6150,BB7 4JX,2012,1
6151,BB7 4JX,2013,1.4
6152,BB7 4JY,2012,1.833333333
6153,BB7 4LH,2012,2
6154,BB7 4NA,2012,1.5
6155,BB7 4NA,2013,1
6156,BB7 4NB,2013,1
6157,BB7 4NE,2012,1
6158,BB7 4NE,2013,1
6159,BB7 4NL,2012,1
6160,BB7 4NL,2013,1
6161,BB7 4NZ,2012,2
6162,BB7 4NZ,2013,1
6163,BB7 4PD,2013,1
6164,BB7 4TR,2012,1
6165,BB7 9AA,2012,1
6166,BB7 9AD,2012,1.75
6167,BB7 9AE,2012,2.6
6168,BB7 9AF,2012,1.666666667
6169,BB7 9AF,2013,2.166666667
6170,BB7 9AJ,2012,1
6171,BB7 9AJ,2013,1
6172,BB7 9AL,2012,1
6173,BB7 9AL,2013,2.333333333
6174,BB7 9BD,2012,2.25
6175,BB7 9DL,2012,1
6176,BB7 9DL,2013,1
6177,BB7 9DN,2012,1.375
6178,BB7 9DN,2013,1
6179,BB7 9DX,2013,1
6180,BB7 9DZ,2012,1.5
6181,BB7 9DZ,2013,1
6182,BB7 9HA,2012,2.333333333
6183,BB7 9HA,2013,1.333333333
6184,BB7 9HD,2013,1.5
6185,BB7 9JT,2012,1.153846154
6186,BB7 9JT,2013,1
6187,BB7 9NJ,2012,1.3
6188,BB7 9NN,2013,1
6189,BB7 9NU,2013,1.666666667
6190,BB7 9PF,2012,1.142857143
6191,BB7 9PF,2013,2
6192,BB7 9PL,2012,1.2
6193,BB7 9RX,2012,2
6194,BB7 9SL,2012,1.666666667
6195,BB7 9SL,2013,1
6196,BB7 9SN,2012,1.5
6197,BB7 9SP,2012,1.428571429
6198,BB7 9SP,2013,1
6199,BB7 9SW,2012,2
6200,BB7 9SW,2013,2
6201,BB7 9TD,2012,1.4
6202,BB7 9TN,2012,1
6203,BB7 9TN,2013,1
6204,BB7 9XJ,2013,1
6205,BB7 9YD,2012,1.571428571
6206,BB8 0AQ,2012,1.2
6207,BB8 0AQ,2013,1
6208,BB8 0BH,2012,1
6209,BB8 0BH,2013,1
6210,BB8 0BP,2012,1.285714286
6211,BB8 0BP,2013,1
6212,BB8 0BQ,2012,1.5
6213,BB8 0DW,2012,1.6
6214,BB8 0DW,2013,2.25
6215,BB8 0ES,2012,1.2
6216,BB8 0HW,2012,1.166666667
6217,BB8 0LL,2012,1.333333333
6218,BB8 0NG,2012,2.333333333
6219,BB8 0NG,2013,1.5
6220,BB8 0RF,2012,1
6221,BB8 0RF,2013,1.333333333
6222,BB8 0RY,2012,1
6223,BB8 7BN,2012,1.090909091
6224,BB8 7ED,2012,2.333333333
6225,BB8 7ED,2013,2
6226,BB8 7EH,2012,1.384615385
6227,BB8 7HU,2012,1
6228,BB8 7HX,2012,1.666666667
6229,BB8 7HX,2013,2
6230,BB8 7JR,2012,1.25
6231,BB8 7JT,2012,1
6232,BB8 7PH,2012,1
6233,BB8 7PH,2013,1.5
6234,BB8 7PT,2012,2.222222222
6235,BB8 8AA,2012,1.692307692
6236,BB8 8AA,2013,1
6237,BB8 8AG,2012,1.4
6238,BB8 8DR,2012,1.666666667
6239,BB8 8FB,2012,1.555555556
6240,BB8 8FB,2013,2
6241,BB8 8HH,2012,1
6242,BB8 8HH,2013,1.25
6243,BB8 8JH,2012,1
6244,BB8 8JH,2013,3
6245,BB8 8JN,2012,1.666666667
6246,BB8 8LB,2012,1
6247,BB8 8LB,2013,1.2
6248,BB8 8LF,2012,1
6249,BB8 8RT,2012,1
6250,BB8 8RT,2013,1
6251,BB8 9AG,2012,1.285714286
6252,BB8 9AG,2013,2
6253,BB8 9AL,2012,1.5
6254,BB8 9BJ,2012,1
6255,BB8 9BJ,2013,2
6256,BB8 9DE,2012,1.333333333
6257,BB8 9DE,2013,1
6258,BB8 9DR,2012,2.625
6259,BB8 9EX,2012,1.25
6260,BB8 9JN,2012,1
6261,BB8 9JN,2013,1
6262,BB8 9JP,2012,2.125
6263,BB8 9LN,2012,1.75
6264,BB8 9LN,2013,1
6265,BB8 9NA,2012,2
6266,BB8 9NB,2012,1.166666667
6267,BB8 9PN,2013,3
6268,BB8 9PR,2012,1
6269,BB8 9QD,2012,1.125
6270,BB8 9QD,2013,1.6
6271,BB8 9QE,2012,2
6272,BB8 9QF,2012,1.333333333
6273,BB8 9QF,2013,1.5
6274,BB8 9QG,2012,1.25
6275,BB8 9QP,2012,1
6276,BB8 9QP,2013,1.5
6277,BB8 9QU,2012,1
6278,BB8 9RL,2012,1
6279,BB8 9RL,2013,2
6280,BB8 9RS,2012,1
6281,BB8 9SE,2012,1
6282,BB8 9SE,2013,1.666666667
6283,BB8 9TD,2012,1.333333333
6284,BB8 9TD,2013,1.444444444
6285,BB9 0AJ,2012,1
6286,BB9 0AJ,2013,1
6287,BB9 0AW,2012,1.625
6288,BB9 0AW,2013,1
6289,BB9 0JH,2012,1
6290,BB9 0JH,2013,1
6291,BB9 0NG,2012,1.5
6292,BB9 0NY,2012,1
6293,BB9 0RG,2012,1
6294,BB9 0RZ,2012,1
6295,BB9 0SE,2013,1
6296,BB9 5AA,2012,1.333333333
6297,BB9 5AA,2013,1.25
6298,BB9 5AF,2012,1.666666667
6299,BB9 5AF,2013,2
6300,BB9 5AW,2012,2
6301,BB9 5AW,2013,1
6302,BB9 5BE,2012,2.5
6303,BB9 5BH,2012,2
6304,BB9 5BH,2013,1.75
6305,BB9 5EJ,2012,2.25
6306,BB9 5EJ,2013,1
6307,BB9 5HX,2012,1
6308,BB9 5HZ,2013,2
6309,BB9 5JP,2012,1.5
6310,BB9 5PH,2012,1.2
6311,BB9 5PR,2012,2
6312,BB9 5PR,2013,1.166666667
6313,BB9 5QP,2012,1.25
6314,BB9 5QP,2013,1
6315,BB9 5RQ,2012,1.25
6316,BB9 5SB,2012,1
6317,BB9 5SD,2012,1
6318,BB9 5SH,2012,1
6319,BB9 5SH,2013,1.666666667
6320,BB9 6AH,2012,1.333333333
6321,BB9 6BX,2012,1.5
6322,BB9 6BX,2013,1.4
6323,BB9 6DQ,2012,1.75
6324,BB9 6DQ,2013,1
6325,BB9 6EA,2012,1
6326,BB9 6EA,2013,2
6327,BB9 6JH,2012,1.222222222
6328,BB9 6JH,2013,2
6329,BB9 6LL,2012,1
6330,BB9 6LL,2013,1
6331,BB9 6LZ,2012,1.428571429
6332,BB9 6NQ,2012,1
6333,BB9 6PZ,2012,1.333333333
6334,BB9 6PZ,2013,1.666666667
6335,BB9 6QA,2012,1.333333333
6336,BB9 6RD,2012,1
6337,BB9 6RF,2012,1
6338,BB9 6RF,2013,1
6339,BB9 6RT,2012,1.2
6340,BB9 6RT,2013,1.375
6341,BB9 7AA,2012,2.5
6342,BB9 7AG,2012,2
6343,BB9 7AG,2013,1
6344,BB9 7AQ,2012,1
6345,BB9 7AR,2013,1
6346,BB9 7AS,2012,1.416666667
6347,BB9 7BG,2012,1.833333333
6348,BB9 7BG,2013,1
6349,BB9 7DE,2012,2
6350,BB9 7DE,2013,1
6351,BB9 7EJ,2012,1.5
6352,BB9 7FG,2012,1.5
6353,BB9 7FG,2013,1
6354,BB9 7HA,2012,1.555555556
6355,BB9 7HA,2013,1.666666667
6356,BB9 7HQ,2012,2.25
6357,BB9 7HW,2012,1
6358,BB9 7HW,2013,1
6359,BB9 7JR,2012,1.25
6360,BB9 7JX,2012,1.4
6361,BB9 7PR,2012,2.5
6362,BB9 7PR,2013,2
6363,BB9 7PY,2012,1
6364,BB9 7PZ,2012,1.333333333
6365,BB9 7PZ,2013,1
6366,BB9 7QN,2012,3
6367,BB9 7QN,2013,1
6368,BB9 7QZ,2013,1
6369,BB9 7RN,2012,1.166666667
6370,BB9 7RN,2013,1
6371,BB9 7RQ,2012,1.4
6372,BB9 7RQ,2013,1.833333333
6373,BB9 7SJ,2012,1
6374,BB9 7SJ,2013,1.5
6375,BB9 7SP,2012,1
6376,BB9 7SP,2013,1
6377,BB9 7ST,2012,1.714285714
6378,BB9 7TB,2012,1
6379,BB9 7TB,2013,1.166666667
6380,BB9 7TR,2012,3
6381,BB9 7TZ,2012,1.6
6382,BB9 7TZ,2013,1
6383,BB9 7UD,2012,1
6384,BB9 7UR,2012,1.4
6385,BB9 7UY,2012,1
6386,BB9 7UY,2013,1
6387,BB9 7XH,2012,1.307692308
6388,BB9 7XH,2013,1.5
6389,BB9 7XR,2012,1.714285714
6390,BB9 7XR,2013,1.333333333
6391,BB9 7XT,2012,1.5
6392,BB9 7XT,2013,1
6393,BB9 7XU,2012,1.25
6394,BB9 7YG,2012,1.142857143
6395,BB9 7YG,2013,1
6396,BB9 7YL,2012,1.416666667
6397,BB9 7YQ,2012,1.333333333
6398,BB9 7YQ,2013,1.25
6399,BB9 7YT,2012,1
6400,BB9 8AA,2012,1
6401,BB9 8AA,2013,1
6402,BB9 8AB,2012,1.333333333
6403,BB9 8AB,2013,1.5
6404,BB9 8AD,2012,1
6405,BB9 8AD,2013,1
6406,BB9 8DA,2012,2
6407,BB9 8DG,2012,1.333333333
6408,BB9 8EJ,2012,1.666666667
6409,BB9 8EJ,2013,3
6410,BB9 8EP,2012,1.333333333
6411,BB9 8EP,2013,3
6412,BB9 8ES,2012,1
6413,BB9 8HF,2012,1.5
6414,BB9 8HF,2013,1.5
6415,BB9 8HQ,2012,1.5
6416,BB9 8HQ,2013,1
6417,BB9 8JJ,2012,1.8
6418,BB9 8JJ,2013,1.142857143
6419,BB9 8LJ,2012,1.5
6420,BB9 8LJ,2013,3
6421,BB9 8LN,2012,1.2
6422,BB9 8LU,2012,1.3
6423,BB9 8LU,2013,1
6424,BB9 8NE,2012,1.125
6425,BB9 8NS,2012,2
6426,BB9 8TU,2012,2
6427,BB9 9AA,2012,1.545454545
6428,BB9 9AA,2013,1
6429,BB9 9AD,2012,1.2
6430,BB9 9AD,2013,1
6431,BB9 9AJ,2012,2
6432,BB9 9AJ,2013,1
6433,BB9 9AW,2012,1
6434,BB9 9DL,2012,1.333333333
6435,BB9 9DL,2013,1
6436,BB9 9DX,2012,2
6437,BB9 9DY,2012,1.5
6438,BB9 9EF,2013,1
6439,BB9 9ER,2012,1.285714286
6440,BB9 9EU,2012,1.375
6441,BB9 9EU,2013,1.428571429
6442,BB9 9HJ,2012,2.333333333
6443,BB9 9NQ,2012,1
6444,BB9 9PA,2012,1
6445,BB9 9PS,2012,2
6446,BB9 9QA,2012,1
6447,BB9 9QZ,2012,2
6448,BB9 9RJ,2012,1.875
6449,BB9 9RJ,2013,1
6450,BB9 9SG,2012,2
6451,BB9 9SG,2013,1
6452,BB9 9SJ,2012,2
6453,BB9 9SJ,2013,1
6454,BB9 9SS,2012,1.4
6455,BB9 9SS,2013,1.666666667
6456,BB9 9SZ,2012,1.666666667
6457,BB9 9TG,2012,1.2
6458,BB9 9TG,2013,1.5
6459,BB9 9TR,2012,1
6460,BB9 9TR,2013,1.6
6461,BB9 9UP,2012,2.25
6462,BB9 9UP,2013,1
6463,BB9 9XX,2012,1
6464,BD1,2012,1
6465,BD1 1HX,2012,2
6466,BD1 1HX,2013,1
6467,BD1 1HZ,2012,1.818181818
6468,BD1 1HZ,2013,1
6469,BD1 1JN,2012,1.428571429
6470,BD1 1JU,2012,1
6471,BD1 1LB,2012,1.833333333
6472,BD1 1LB,2013,1.25
6473,BD1 1NF,2012,1
6474,BD1 1NQ,2012,1.9
6475,BD1 1QT,2012,1
6476,BD1 1QT,2013,2
6477,BD1 1RU,2012,1
6478,BD1 1RU,2013,1
6479,BD1 1SD,2012,1.5
6480,BD1 1SD,2013,2
6481,BD1 1TQ,2012,2.166666667
6482,BD1 1TQ,2013,1.333333333
6483,BD1 1TU,2012,1.333333333
6484,BD1 1TU,2013,1
6485,BD1 2BX,2012,1.181818182
6486,BD1 2DG,2012,1.25
6487,BD1 2DG,2013,1.857142857
6488,BD1 2HB,2012,1.333333333
6489,BD1 2HB,2013,1
6490,BD1 2JH,2012,2
6491,BD1 2JH,2013,1.5
6492,BD1 2JX,2012,1
6493,BD1 2JX,2013,2
6494,BD1 2LA,2012,4
6495,BD1 2LA,2013,1.5
6496,BD1 2LD,2012,1
6497,BD1 2LD,2013,1.428571429
6498,BD1 2NE,2012,1
6499,BD1 2PG,2012,1
6500,BD1 2PW,2012,2.2
6501,BD1 2PW,2013,2
6502,BD1 2QT,2012,1.545454545
6503,BD1 2QT,2013,1.5
6504,BD1 2QY,2012,2
6505,BD1 2RD,2012,1.111111111
6506,BD1 2RU,2013,1.333333333
6507,BD1 2RY,2012,1
6508,BD1 2RY,2013,1
6509,BD1 2RZ,2012,1.8
6510,BD1 2SA,2012,2.333333333
6511,BD1 2ST,2012,1
6512,BD1 2ST,2013,1
6513,BD1 3AD,2012,1.5
6514,BD1 3AD,2013,1.2
6515,BD1 3AZ,2012,1
6516,BD1 3AZ,2013,1
6517,BD1 3BA,2012,1.125
6518,BD1 3BA,2013,3
6519,BD1 3EB,2012,1.333333333
6520,BD1 3EB,2013,2
6521,BD1 3JH,2012,1
6522,BD1 3JU,2012,1.142857143
6523,BD1 3JU,2013,2.5
6524,BD1 3LH,2012,1.75
6525,BD1 3RA,2012,1
6526,BD1 3RP,2012,1.5
6527,BD1 3RP,2013,2
6528,BD1 3RS,2012,1.2
6529,BD1 3SH,2012,1
6530,BD1 4AA,2012,1.333333333
6531,BD1 4AA,2013,2.333333333
6532,BD1 4AG,2012,1.5
6533,BD1 4AJ,2012,1.428571429
6534,BD1 4AJ,2013,1
6535,BD1 4AP,2012,1.333333333
6536,BD1 4BD,2012,1.818181818
6537,BD1 4BD,2013,1
6538,BD1 4DE,2012,1
6539,BD1 4DE,2013,3
6540,BD1 4DZ,2012,1
6541,BD1 4HA,2012,1.25
6542,BD1 4HF,2012,1
6543,BD1 4QE,2012,1.2
6544,BD1 4RA,2012,1
6545,BD1 4RF,2012,1.333333333
6546,BD1 4RH,2012,1
6547,BD1 4RP,2012,1.666666667
6548,BD1 4SB,2012,1
6549,BD1 4SD,2012,2
6550,BD1 4SF,2012,1.5
6551,BD1 4SF,2013,3.333333333
6552,BD1 4SJ,2012,1
6553,BD1 4SP,2012,1
